名称,ID,日期,充电功率/MW,当日平均充电功率/MW,当日最大充电功率/MW,当日 MAXV 对应时间,当日 V 最小值/MW,当日 MINV 对应时间,充电时长/h,当日所有 S 的均值/h,当日 S 的最大值/h,当日 S 的最小值/h,当日最大充电时长跨度/h
电动汽车充电站,1001-1012,2024/1/1 16:00,4.51,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.232,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 16:15,5.01,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.249,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 16:30,5.22,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.237,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 16:45,5.81,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.243,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 17:00,6.13,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.244,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 17:15,6.38,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.251,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 17:30,6.91,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.244,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 17:45,7.42,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.247,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 18:00,7.48,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.245,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 18:15,7.95,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.24,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 18:30,7.5,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.233,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 18:45,8.12,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.246,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 19:00,8.04,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.239,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 19:15,7.95,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.248,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 19:30,7.9,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.247,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 19:45,7.42,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.245,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 20:00,7.46,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.24,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 20:15,7.26,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.25,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 20:30,7.11,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.247,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 20:45,6.45,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.237,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 21:00,6.04,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.252,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 21:15,5.72,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.24,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 21:30,5.59,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.235,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 21:45,5.2,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.237,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 22:00,4.82,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.232,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 22:15,4.82,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.246,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 22:30,4.69,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.245,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 22:45,4.88,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.243,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 23:00,4.82,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.242,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 23:15,5.19,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.247,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 23:30,5.63,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.24,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 23:45,6.01,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.244,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/2 0:00,6.9,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.24,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 0:15,7.54,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.244,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 0:30,8.12,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.248,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 0:45,8.63,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.232,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 1:00,8.87,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.245,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 1:15,9.27,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.249,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 1:30,9.32,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.248,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 1:45,9.09,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.246,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 2:00,8.81,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.251,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 2:15,8.34,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.243,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 2:30,7.86,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.24,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 2:45,6.81,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.25,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 3:00,5.99,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.247,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 3:15,5.12,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.237,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 3:30,4.07,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.238,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 3:45,3.66,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.242,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 4:00,3.08,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.236,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 4:15,2.97,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.239,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 4:30,2.21,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.237,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 4:45,2.05,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.233,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 5:00,1.86,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.236,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 5:15,1.64,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.228,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 5:30,2.03,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.236,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 5:45,2.09,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.234,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 6:00,2.28,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.233,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 6:15,2.27,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.228,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 6:30,2.91,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.236,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 6:45,2.82,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.236,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 7:00,3.5,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.233,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 7:15,4.14,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.23,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 7:30,4.07,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.23,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 7:45,4.55,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.238,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 8:00,5.05,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.242,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 8:15,5.33,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.25,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 8:30,5.5,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.241,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 8:45,6.02,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.234,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 9:00,6.05,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.241,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 9:15,6.41,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.249,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 9:30,6.25,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.239,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 9:45,6.58,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.249,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 10:00,6.1,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.243,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 10:15,5.97,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.245,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 10:30,5.88,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.251,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 10:45,5.25,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.231,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 11:00,5.11,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.245,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 11:15,4.89,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.239,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 11:30,4.05,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.233,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 11:45,3.94,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.237,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 12:00,3.58,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.246,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 12:15,3.32,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.243,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 12:30,2.72,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.225,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 12:45,2.46,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.231,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 13:00,2.55,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.24,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 13:15,2.38,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.235,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 13:30,2.3,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.235,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 13:45,2.3,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.227,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 14:00,2.18,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.231,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 14:15,2.42,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.228,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 14:30,2.58,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.227,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 14:45,2.63,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.229,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 15:00,3.27,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.232,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 15:15,3.36,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.233,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 15:30,3.45,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.233,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 15:45,4.09,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.243,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 16:00,4.24,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.234,0.24,0.255,0.225,0.03
电动汽车充电站,1001-1012,2024/1/2 16:15,4.92,5.2,9.32,2024/1/2 1:30,1.64,2024/1/2 5:15,0.247,0.24,0.255,0.225,0.03
